,time,case_by_day,recovered_by_day,death_by_day
0,01/12/2020,5,16,0
1,02/12/2020,7,6,0
2,03/12/2020,3,8,0
3,04/12/2020,0,11,0
4,05/12/2020,4,0,0
5,06/12/2020,1,0,0
6,07/12/2020,1,4,0
7,08/12/2020,10,0,0
8,09/12/2020,4,1,0
9,10/12/2020,4,0,0
10,11/12/2020,6,13,0
11,12/12/2020,4,0,0
12,13/12/2020,2,3,0
13,14/12/2020,5,5,0
14,15/12/2020,3,6,0
15,16/12/2020,0,0,0
16,17/12/2020,2,11,0
17,18/12/2020,3,3,0
18,19/12/2020,1,3,0
19,20/12/2020,2,0,0
20,21/12/2020,1,0,0
21,22/12/2020,6,12,0
22,23/12/2020,1,0,0
23,24/12/2020,11,0,0
24,25/12/2020,7,22,0
25,26/12/2020,1,0,0
26,27/12/2020,1,0,0
27,28/12/2020,10,15,0
28,29/12/2020,3,1,0
29,30/12/2020,2,4,0
30,31/12/2020,9,2,0
31,01/01/2021,9,0,0
32,02/01/2021,8,12,0
33,03/01/2021,12,2,0
34,04/01/2021,3,0,0
35,05/01/2021,7,0,0
36,06/01/2021,1,14,0
37,07/01/2021,4,0,0
38,08/01/2021,3,4,0
39,09/01/2021,1,4,0
40,10/01/2021,1,0,0
41,11/01/2021,1,0,0
42,12/01/2021,5,0,0
43,13/01/2021,1,8,0
44,14/01/2021,10,0,0
45,15/01/2021,5,11,0
46,16/01/2021,1,0,0
47,17/01/2021,0,0,0
48,18/01/2021,2,22,0
49,19/01/2021,1,0,0
50,20/01/2021,4,4,0
51,21/01/2021,2,5,0
52,22/01/2021,2,0,0
53,23/01/2021,0,0,0
54,24/01/2021,0,0,0
55,25/01/2021,1,14,0
56,26/01/2021,2,5,0
57,27/01/2021,0,0,0
58,28/01/2021,9,0,0
59,29/01/2021,97,18,0
60,30/01/2021,110,8,0
61,31/01/2021,50,1,0
62,01/02/2021,33,3,0
63,02/02/2021,32,0,0
64,03/02/2021,29,1,0
65,04/02/2021,46,4,0
66,05/02/2021,19,0,0
67,06/02/2021,5,3,0
68,07/02/2021,20,4,0
69,08/02/2021,49,0,0
70,09/02/2021,19,2,0
71,10/02/2021,22,6,0
72,11/02/2021,49,48,0
73,12/02/2021,2,1,0
74,13/02/2021,53,0,0
75,14/02/2021,33,3,0
76,15/02/2021,41,14,0
77,16/02/2021,42,27,0
78,17/02/2021,18,7,0
79,18/02/2021,18,25,0
80,19/02/2021,15,22,0
81,20/02/2021,6,0,0
82,21/02/2021,15,90,0
83,22/02/2021,9,0,0
84,23/02/2021,9,0,0
85,24/02/2021,11,73,0
86,25/02/2021,8,14,0
87,26/02/2021,6,35,0
88,27/02/2021,6,5,0
89,28/02/2021,16,32,0
90,01/03/2021,13,16,0
91,02/03/2021,11,6,0
92,03/03/2021,10,0,0
93,04/03/2021,6,22,0
94,05/03/2021,6,0,0
95,06/03/2021,13,0,0
96,07/03/2021,5,0,0
97,08/03/2021,12,0,0
98,09/03/2021,2,84,0
99,10/03/2021,3,0,0
100,11/03/2021,4,44,0
101,12/03/2021,17,38,0
102,13/03/2021,3,0,0
103,14/03/2021,1,0,0
104,15/03/2021,3,29,0
105,16/03/2021,3,43,0
106,17/03/2021,7,40,0
107,18/03/2021,3,0,0
108,19/03/2021,1,0,0
109,20/03/2021,1,0,0
110,21/03/2021,0,0,0
111,22/03/2021,3,35,0
112,23/03/2021,1,13,0
113,24/03/2021,0,19,0
114,25/03/2021,3,0,0
115,26/03/2021,7,0,0
116,27/03/2021,0,43,0
117,28/03/2021,5,0,0
118,29/03/2021,3,0,0
119,30/03/2021,0,51,0
120,31/03/2021,9,0,0
121,01/04/2021,14,0,0
122,02/04/2021,3,24,0
123,03/04/2021,6,0,0
124,04/04/2021,5,0,0
125,05/04/2021,6,33,0
126,06/04/2021,11,6,0
127,07/04/2021,11,7,0
128,08/04/2021,9,0,0
129,09/04/2021,15,0,0
130,10/04/2021,9,0,0
131,11/04/2021,1,0,0
132,12/04/2021,12,16,0
133,13/04/2021,9,0,0
134,14/04/2021,19,0,0
135,15/04/2021,25,0,0
136,16/04/2021,14,30,0
137,17/04/2021,9,0,0
138,18/04/2021,3,0,0
139,19/04/2021,7,0,0
140,20/04/2021,10,15,0
141,21/04/2021,5,0,0
142,22/04/2021,10,0,0
143,23/04/2021,14,0,0
144,24/04/2021,3,26,0
145,25/04/2021,10,0,0
146,26/04/2021,9,0,0
147,27/04/2021,5,0,0
148,28/04/2021,8,0,0
149,29/04/2021,45,0,0
150,30/04/2021,18,0,0
151,01/05/2021,14,33,0
152,02/05/2021,20,0,0
153,03/05/2021,19,11,0
154,04/05/2021,15,0,0
155,05/05/2021,26,0,0
156,06/05/2021,68,0,0
157,07/05/2021,47,0,0
158,08/05/2021,93,42,0
159,09/05/2021,102,0,0
160,10/05/2021,129,16,0
161,11/05/2021,76,0,0
162,12/05/2021,86,18,0
163,13/05/2021,87,21,0
164,14/05/2021,106,0,0
165,15/05/2021,53,11,1
166,16/05/2021,306,0,0
167,17/05/2021,184,0,1
168,18/05/2021,153,19,0
169,19/05/2021,67,0,0
170,20/05/2021,230,2,2
171,21/05/2021,132,0,2
172,22/05/2021,145,32,0
173,23/05/2021,131,0,1
174,24/05/2021,187,73,2
175,25/05/2021,370,0,0
176,26/05/2021,312,59,1
177,27/05/2021,230,0,1
178,28/05/2021,80,43,1
179,29/05/2021,460,0,0
180,30/05/2021,251,54,0
181,31/05/2021,214,80,0
182,01/06/2021,251,13,1
183,02/06/2021,241,42,1
184,03/06/2021,250,0,0
185,04/06/2021,224,156,2
186,05/06/2021,254,69,2
187,06/06/2021,206,58,0
188,07/06/2021,236,141,0
189,08/06/2021,175,38,2
190,09/06/2021,407,89,0
191,10/06/2021,219,72,0
192,11/06/2021,196,96,2
193,12/06/2021,261,23,1
194,13/06/2021,297,171,1
195,14/06/2021,272,238,0
196,15/06/2021,192,302,0
197,16/06/2021,633,52,2
198,17/06/2021,379,63,0
199,18/06/2021,400,80,1
200,19/06/2021,206,321,2
201,20/06/2021,497,0,0
202,21/06/2021,366,399,5
203,22/06/2021,147,93,0
204,23/06/2021,232,138,1
205,24/06/2021,254,75,2
206,25/06/2021,421,190,2
207,26/06/2021,738,188,0
208,27/06/2021,126,182,2
209,28/06/2021,640,200,0
210,29/06/2021,197,245,4
211,30/06/2021,625,76,1
212,01/07/2021,449,406,0
213,02/07/2021,590,149,3
214,03/07/2021,458,248,0
215,04/07/2021,0,176,2
216,05/07/2021,1573,203,4
217,06/07/2021,1,0,7
218,07/07/2021,1626,0,0
219,08/07/2021,0,0,7
220,09/07/2021,0,0,0
221,10/07/2021,1625,0,1
222,11/07/2021,0,0,0
223,12/07/2021,4074,220,0
224,13/07/2021,2147,56,0
225,14/07/2021,1071,222,27
226,15/07/2021,854,71,75
227,16/07/2021,7320,64,18
228,17/07/2021,2106,0,0
229,18/07/2021,2701,0,29
230,19/07/2021,0,0,80
231,20/07/2021,14108,0,0
232,21/07/2021,0,0,36
233,22/07/2021,0,0,0
234,23/07/2021,24112,6881,0
235,24/07/2021,9256,2047,0
236,25/07/2021,7531,1759,0
237,26/07/2021,7882,2002,154
238,27/07/2021,7913,1602,0
239,28/07/2021,6559,4511,106
240,29/07/2021,7594,4323,233
241,30/07/2021,8649,3704,298
242,31/07/2021,8624,3250,145
243,01/08/2021,8620,4423,0
244,02/08/2021,7455,3808,389
245,03/08/2021,8429,3866,376
246,04/08/2021,7623,3501,256
247,05/08/2021,7244,3708,393
248,06/08/2021,8324,4292,296
249,07/08/2021,7334,4305,0
250,08/08/2021,9690,4860,381
251,09/08/2021,9340,4423,360
252,10/08/2021,8390,4428,388
253,11/08/2021,8766,4806,342
254,12/08/2021,9667,3991,326
255,13/08/2021,9180,3593,275
256,14/08/2021,9716,4247,349
257,15/08/2021,9580,5519,337
258,16/08/2021,8652,4473,367
259,17/08/2021,9605,4331,331
260,18/08/2021,8800,3751,298
261,19/08/2021,10510,5000,380
262,20/08/2021,10657,12756,390
263,21/08/2021,13439,7272,0
264,22/08/2021,11352,7580,737
265,23/08/2021,10397,6945,389
266,24/08/2021,10811,7667,348
267,25/08/2021,12096,7642,335
268,26/08/2021,11575,18567,318
269,27/08/2021,17428,10126,386
270,28/08/2021,12103,12375,352
271,29/08/2021,12796,8813,344
272,30/08/2021,14224,9014,315
273,31/08/2021,12607,10044,0
274,01/09/2021,11434,9862,804
275,02/09/2021,13197,10602,270
276,03/09/2021,14922,11344,308
277,04/09/2021,9521,11848,347
278,05/09/2021,13137,9211,281
279,06/09/2021,12481,9730,311
280,07/09/2021,14208,10253,316
281,08/09/2021,12663,13937,424
282,09/09/2021,12399,13937,335
283,10/09/2021,13321,12751,254
284,11/09/2021,11932,12541,217
285,12/09/2021,11478,11116,261
286,13/09/2021,11172,11116,261
287,14/09/2021,10508,11116,261
288,15/09/2021,10585,11116,261
289,16/09/2021,10489,11116,261
290,17/09/2021,11521,11116,261
291,18/09/2021,9373,11116,261
292,19/09/2021,10040,11116,261
293,20/09/2021,8681,11116,261
294,21/09/2021,11692,11116,261
295,22/09/2021,11527,11919,236
296,23/09/2021,9472,6226,236
297,24/09/2021,8537,12371,203
298,25/09/2021,9706,10590,180
299,26/09/2021,10011,11477,184
300,27/09/2021,9362,10528,174
301,28/09/2021,8006,21487,0
302,29/09/2021,8758,23568,162
303,30/09/2021,7940,25322,159
304,01/10/2021,6957,27250,136
305,02/10/2021,5490,28857,164
306,03/10/2021,5376,28859,114
307,04/10/2021,5383,27683,130
308,05/10/2021,4147,25573,134
309,06/10/2021,4356,10030,119
310,07/10/2021,4360,1402,125
311,08/10/2021,5367,994,114
312,09/10/2021,4512,1319,0
313,10/10/2021,3513,21398,0
314,11/10/2021,3619,2549,115
315,12/10/2021,2949,1347,93
316,13/10/2021,3461,1191,106
317,14/10/2021,4151,719,81
318,15/10/2021,3789,918,93
319,16/10/2021,3221,1581,88
320,17/10/2021,3193,1340,63
321,18/10/2021,3168,1136,75
322,19/10/2021,3034,1866,75
323,20/10/2021,3646,1737,72
324,21/10/2021,3636,1541,71
325,22/10/2021,3977,5302,56
326,23/10/2021,3373,1338,77
327,24/10/2021,4045,1314,53
328,25/10/2021,3639,1323,65
329,26/10/2021,3595,2989,64
330,27/10/2021,4411,2024,54
331,28/10/2021,4892,1649,54
332,29/10/2021,4899,2169,56
333,30/10/2021,5227,2204,64
334,31/10/2021,5519,1998,53
335,01/11/2021,5598,1731,52
336,02/11/2021,5637,2741,70
337,03/11/2021,7106,8869,78
338,04/11/2021,6580,1731,59
339,05/11/2021,7504,1941,70
340,06/11/2021,7491,1754,58
341,07/11/2021,7646,1301,61
342,08/11/2021,7988,1073,67
343,09/11/2021,8133,1325,88
344,10/11/2021,7930,1254,79
345,11/11/2021,8162,1894,84
346,12/11/2021,8982,10263,81
347,13/11/2021,8467,1843,88
348,14/11/2021,8176,5257,64
349,15/11/2021,8616,1205,101
350,16/11/2021,10259,6481,87
351,17/11/2021,9849,3873,67
352,18/11/2021,10223,6723,139
353,19/11/2021,9625,1971,102
354,20/11/2021,9531,16773,107
355,21/11/2021,9889,5163,76
356,22/11/2021,10321,4776,190
357,23/11/2021,39132,1034,167
358,24/11/2021,11811,25951,125
359,25/11/2021,12450,5627,164
360,26/11/2021,13109,12368,137
361,27/11/2021,16067,1668,148
362,28/11/2021,12936,1712,190
363,29/11/2021,13770,16088,173
364,30/11/2021,13972,14624,197
365,01/12/2021,14508,2704,196
366,02/12/2021,13698,13258,210
367,03/12/2021,14492,1149,200
368,04/12/2021,13998,1107,203
369,05/12/2021,14314,1711,199
370,06/12/2021,14591,1130,223
371,07/12/2021,13840,1249,217
372,08/12/2021,14599,24737,230
373,09/12/2021,15311,14586,256
374,10/12/2021,14839,1362,216
375,11/12/2021,16141,1084,209
376,12/12/2021,14638,1295,228
377,13/12/2021,15377,1192,242
378,14/12/2021,15220,4524,252
379,15/12/2021,15527,2992,283
380,16/12/2021,34062,1033,241
381,17/12/2021,15236,31057,246
382,18/12/2021,15895,1645,248
383,19/12/2021,16110,10799,215
384,20/12/2021,14977,1937,225
385,21/12/2021,16325,50191,250
386,22/12/2021,16555,13394,210
387,23/12/2021,16377,10944,280
388,24/12/2021,16157,30833,235
389,25/12/2021,15586,14423,241
390,26/12/2021,15218,18556,207
391,27/12/2021,14872,11374,204
392,28/12/2021,14440,4668,214
393,29/12/2021,13889,38260,245
394,30/12/2021,19868,34102,291
395,31/12/2021,16515,18642,226
396,01/01/2022,14822,2990,216
397,02/01/2022,16914,14420,221
398,03/01/2022,15916,24461,190
399,04/01/2022,21696,16227,224
400,05/01/2022,16997,22662,230
401,06/01/2022,16417,28369,172
402,07/01/2022,16254,14633,233
403,08/01/2022,16553,8990,240
404,09/01/2022,23181,12210,202
405,10/01/2022,14818,89842,212
406,11/01/2022,16035,6870,256
407,12/01/2022,28291,38939,177
408,13/01/2022,16725,26031,206
409,14/01/2022,16040,4290,171
410,15/01/2022,16378,51744,139
411,16/01/2022,15684,9326,129
412,17/01/2022,21744,20172,179
413,18/01/2022,16838,8692,184
414,19/01/2022,15959,33034,142
415,20/01/2022,0,0,0
